ip.src,ip.dst,tcp.seq,tcp.nxtseq,tcp.ack,_ws.col.Time,_ws.col.Protocol
10.1.1.3,10.1.1.2,0,1,0,10.084891,TCP
10.1.1.2,10.1.1.3,0,1,1,10.085080,TCP
10.1.1.3,10.1.1.2,1,1,1,10.085106,TCP
10.1.1.3,10.1.1.2,1,144,1,10.085154,HTTP
10.1.1.2,10.1.1.3,1,1,144,10.085382,TCP
10.1.1.2,10.1.1.3,1,320,144,10.085615,HTTP
10.1.1.3,10.1.1.2,144,144,320,10.085629,TCP
10.1.1.3,10.1.1.2,144,145,320,10.088503,TCP
10.1.1.2,10.1.1.3,320,321,145,10.088778,TCP
10.1.1.3,10.1.1.2,145,145,321,10.088806,TCP
10.1.1.3,10.1.1.2,0,1,0,11.093725,TCP
10.1.1.2,10.1.1.3,0,1,1,11.093927,TCP
10.1.1.3,10.1.1.2,1,1,1,11.093955,TCP
10.1.1.3,10.1.1.2,1,144,1,11.094017,HTTP
10.1.1.2,10.1.1.3,1,1,144,11.094406,TCP
10.1.1.2,10.1.1.3,1,320,144,11.094639,HTTP
10.1.1.3,10.1.1.2,144,144,320,11.094650,TCP
10.1.1.3,10.1.1.2,144,145,320,11.097304,TCP
10.1.1.2,10.1.1.3,320,321,145,11.097565,TCP
10.1.1.3,10.1.1.2,145,145,321,11.097579,TCP
10.1.1.3,10.1.1.2,0,1,0,12.102280,TCP
10.1.1.2,10.1.1.3,0,1,1,12.102585,TCP
10.1.1.3,10.1.1.2,1,1,1,12.102613,TCP
10.1.1.3,10.1.1.2,1,144,1,12.102669,HTTP
10.1.1.2,10.1.1.3,1,1,144,12.103053,TCP
10.1.1.2,10.1.1.3,1,320,144,12.103332,HTTP
10.1.1.3,10.1.1.2,144,144,320,12.103345,TCP
10.1.1.3,10.1.1.2,144,145,320,12.106294,TCP
10.1.1.2,10.1.1.3,320,321,145,12.106580,TCP
10.1.1.3,10.1.1.2,145,145,321,12.106600,TCP
10.1.1.3,10.1.1.2,0,1,0,13.111491,TCP
10.1.1.2,10.1.1.3,0,1,1,13.111666,TCP
10.1.1.3,10.1.1.2,1,1,1,13.111693,TCP
10.1.1.3,10.1.1.2,1,144,1,13.111745,HTTP
10.1.1.2,10.1.1.3,1,1,144,13.111897,TCP
10.1.1.2,10.1.1.3,1,320,144,13.112179,HTTP
10.1.1.3,10.1.1.2,144,144,320,13.112185,TCP
10.1.1.3,10.1.1.2,144,145,320,13.114993,TCP
10.1.1.2,10.1.1.3,320,321,145,13.115268,TCP
10.1.1.3,10.1.1.2,145,145,321,13.115288,TCP
10.1.1.3,10.1.1.2,0,1,0,14.120179,TCP
10.1.1.2,10.1.1.3,0,1,1,14.120368,TCP
10.1.1.3,10.1.1.2,1,1,1,14.120396,TCP
10.1.1.3,10.1.1.2,1,144,1,14.120458,HTTP
10.1.1.2,10.1.1.3,1,1,144,14.120875,TCP
10.1.1.2,10.1.1.3,1,320,144,14.121155,HTTP
10.1.1.3,10.1.1.2,144,144,320,14.121169,TCP
10.1.1.3,10.1.1.2,144,145,320,14.124443,TCP
10.1.1.2,10.1.1.3,320,321,145,14.124686,TCP
10.1.1.3,10.1.1.2,145,145,321,14.124705,TCP
10.1.1.3,10.1.1.2,0,1,0,15.129811,TCP
10.1.1.2,10.1.1.3,0,1,1,15.130134,TCP
10.1.1.3,10.1.1.2,1,1,1,15.130164,TCP
10.1.1.3,10.1.1.2,1,144,1,15.130215,HTTP
10.1.1.2,10.1.1.3,1,1,144,15.130602,TCP
10.1.1.2,10.1.1.3,1,320,144,15.130851,HTTP
10.1.1.3,10.1.1.2,144,144,320,15.130865,TCP
10.1.1.3,10.1.1.2,144,145,320,15.133978,TCP
10.1.1.2,10.1.1.3,320,321,145,15.134264,TCP
10.1.1.3,10.1.1.2,145,145,321,15.134284,TCP
10.1.1.3,10.1.1.2,0,1,0,16.139278,TCP
10.1.1.2,10.1.1.3,0,1,1,16.139472,TCP
10.1.1.3,10.1.1.2,1,1,1,16.139500,TCP
10.1.1.3,10.1.1.2,1,144,1,16.139548,HTTP
10.1.1.2,10.1.1.3,1,1,144,16.139715,TCP
10.1.1.2,10.1.1.3,1,320,144,16.139974,HTTP
10.1.1.3,10.1.1.2,144,144,320,16.139987,TCP
10.1.1.3,10.1.1.2,144,145,320,16.142874,TCP
10.1.1.2,10.1.1.3,320,321,145,16.143114,TCP
10.1.1.3,10.1.1.2,145,145,321,16.143133,TCP
10.1.1.3,10.1.1.2,0,1,0,17.147723,TCP
10.1.1.2,10.1.1.3,0,1,1,17.147911,TCP
10.1.1.3,10.1.1.2,1,1,1,17.147938,TCP
10.1.1.3,10.1.1.2,1,144,1,17.147991,HTTP
10.1.1.2,10.1.1.3,1,1,144,17.148159,TCP
10.1.1.2,10.1.1.3,1,320,144,17.148445,HTTP
10.1.1.3,10.1.1.2,144,144,320,17.148458,TCP
10.1.1.3,10.1.1.2,144,145,320,17.151474,TCP
10.1.1.2,10.1.1.3,320,321,145,17.151755,TCP
10.1.1.3,10.1.1.2,145,145,321,17.151775,TCP
10.1.1.3,10.1.1.2,0,1,0,18.156542,TCP
10.1.1.2,10.1.1.3,0,1,1,18.156830,TCP
10.1.1.3,10.1.1.2,1,1,1,18.156859,TCP
10.1.1.3,10.1.1.2,1,144,1,18.156910,HTTP
10.1.1.2,10.1.1.3,1,1,144,18.157340,TCP
10.1.1.2,10.1.1.3,1,320,144,18.157589,HTTP
10.1.1.3,10.1.1.2,144,144,320,18.157603,TCP
10.1.1.3,10.1.1.2,144,145,320,18.160732,TCP
10.1.1.2,10.1.1.3,320,321,145,18.160999,TCP
10.1.1.3,10.1.1.2,145,145,321,18.161016,TCP
10.1.1.3,10.1.1.2,0,1,0,19.166047,TCP
10.1.1.2,10.1.1.3,0,1,1,19.166237,TCP
10.1.1.3,10.1.1.2,1,1,1,19.166266,TCP
10.1.1.3,10.1.1.2,1,144,1,19.166318,HTTP
10.1.1.2,10.1.1.3,1,1,144,19.166485,TCP
10.1.1.2,10.1.1.3,1,320,144,19.166747,HTTP
10.1.1.3,10.1.1.2,144,144,320,19.166761,TCP
10.1.1.3,10.1.1.2,144,145,320,19.169718,TCP
10.1.1.2,10.1.1.3,320,321,145,19.170006,TCP
10.1.1.3,10.1.1.2,145,145,321,19.170025,TCP
