ip.src,ip.dst,tcp.seq,tcp.nxtseq,tcp.ack,_ws.col.Time,_ws.col.Protocol
10.1.1.2,10.1.1.3,329,330,145,10.338556,TCP
10.1.1.3,10.1.1.2,145,145,330,10.338588,TCP
10.1.1.3,10.1.1.2,0,1,0,11.344059,TCP
10.1.1.2,10.1.1.3,0,1,1,11.344748,TCP
10.1.1.3,10.1.1.2,1,1,1,11.344795,TCP
10.1.1.3,10.1.1.2,1,144,1,11.344852,HTTP
10.1.1.2,10.1.1.3,1,1,144,11.345444,TCP
10.1.1.2,10.1.1.3,1,329,144,11.346307,HTTP
10.1.1.3,10.1.1.2,144,144,329,11.346340,TCP
10.1.1.3,10.1.1.2,144,145,329,11.351874,TCP
10.1.1.2,10.1.1.3,329,330,145,11.352594,TCP
10.1.1.3,10.1.1.2,145,145,330,11.352628,TCP
10.1.1.3,10.1.1.2,0,1,0,12.358739,TCP
10.1.1.2,10.1.1.3,0,1,1,12.359421,TCP
10.1.1.3,10.1.1.2,1,1,1,12.359463,TCP
10.1.1.3,10.1.1.2,1,144,1,12.359550,HTTP
10.1.1.2,10.1.1.3,1,1,144,12.360192,TCP
10.1.1.2,10.1.1.3,1,329,144,12.360619,HTTP
10.1.1.3,10.1.1.2,144,144,329,12.360638,TCP
10.1.1.3,10.1.1.2,144,145,329,12.364388,TCP
10.1.1.2,10.1.1.3,329,330,145,12.365137,TCP
10.1.1.3,10.1.1.2,145,145,330,12.365165,TCP
10.1.1.3,10.1.1.2,0,1,0,13.371608,TCP
10.1.1.2,10.1.1.3,0,1,1,13.372303,TCP
10.1.1.3,10.1.1.2,1,1,1,13.372351,TCP
10.1.1.3,10.1.1.2,1,144,1,13.372412,HTTP
10.1.1.2,10.1.1.3,1,1,144,13.373081,TCP
10.1.1.2,10.1.1.3,1,329,144,13.373469,HTTP
10.1.1.3,10.1.1.2,144,144,329,13.373501,TCP
10.1.1.3,10.1.1.2,144,145,329,13.377573,TCP
10.1.1.2,10.1.1.3,329,330,145,13.378282,TCP
10.1.1.3,10.1.1.2,145,145,330,13.378316,TCP
10.1.1.3,10.1.1.2,0,1,0,14.384653,TCP
10.1.1.2,10.1.1.3,0,1,1,14.385349,TCP
10.1.1.3,10.1.1.2,1,1,1,14.385386,TCP
10.1.1.3,10.1.1.2,1,144,1,14.385451,HTTP
10.1.1.2,10.1.1.3,1,1,144,14.386104,TCP
10.1.1.2,10.1.1.3,1,329,144,14.386526,HTTP
10.1.1.3,10.1.1.2,144,144,329,14.386545,TCP
10.1.1.3,10.1.1.2,144,145,329,14.390401,TCP
10.1.1.2,10.1.1.3,329,330,145,14.391133,TCP
10.1.1.3,10.1.1.2,145,145,330,14.391161,TCP
10.1.1.3,10.1.1.2,0,1,0,15.397295,TCP
10.1.1.2,10.1.1.3,0,1,1,15.398003,TCP
10.1.1.3,10.1.1.2,1,1,1,15.398040,TCP
10.1.1.3,10.1.1.2,1,144,1,15.398106,HTTP
10.1.1.2,10.1.1.3,1,1,144,15.398773,TCP
10.1.1.2,10.1.1.3,1,329,144,15.399213,HTTP
10.1.1.3,10.1.1.2,144,144,329,15.399232,TCP
10.1.1.3,10.1.1.2,144,145,329,15.402523,TCP
10.1.1.2,10.1.1.3,329,330,145,15.403274,TCP
10.1.1.3,10.1.1.2,145,145,330,15.403310,TCP
10.1.1.3,10.1.1.2,0,1,0,16.409579,TCP
10.1.1.2,10.1.1.3,0,1,1,16.410262,TCP
10.1.1.3,10.1.1.2,1,1,1,16.410298,TCP
10.1.1.3,10.1.1.2,1,144,1,16.410364,HTTP
10.1.1.2,10.1.1.3,1,1,144,16.411021,TCP
10.1.1.2,10.1.1.3,1,329,144,16.411518,HTTP
10.1.1.3,10.1.1.2,144,144,329,16.411538,TCP
10.1.1.3,10.1.1.2,144,145,329,16.414891,TCP
10.1.1.2,10.1.1.3,329,330,145,16.415637,TCP
10.1.1.3,10.1.1.2,145,145,330,16.415672,TCP
10.1.1.3,10.1.1.2,0,1,0,17.421991,TCP
10.1.1.2,10.1.1.3,0,1,1,17.422691,TCP
10.1.1.3,10.1.1.2,1,1,1,17.422729,TCP
10.1.1.3,10.1.1.2,1,144,1,17.422814,HTTP
10.1.1.2,10.1.1.3,1,1,144,17.423468,TCP
10.1.1.2,10.1.1.3,1,329,144,17.423889,HTTP
10.1.1.3,10.1.1.2,144,144,329,17.423908,TCP
10.1.1.3,10.1.1.2,144,145,329,17.427063,TCP
10.1.1.2,10.1.1.3,329,330,145,17.427809,TCP
10.1.1.3,10.1.1.2,145,145,330,17.427843,TCP
10.1.1.2,10.1.1.3,329,330,145,17.634697,TCP
10.1.1.3,10.1.1.2,145,145,330,17.634723,TCP
10.1.1.3,10.1.1.2,0,1,0,18.439790,TCP
10.1.1.2,10.1.1.3,0,1,1,18.440478,TCP
10.1.1.3,10.1.1.2,1,1,1,18.440519,TCP
10.1.1.3,10.1.1.2,1,144,1,18.440605,HTTP
10.1.1.2,10.1.1.3,1,1,144,18.441255,TCP
10.1.1.2,10.1.1.3,1,329,144,18.441694,HTTP
10.1.1.3,10.1.1.2,144,144,329,18.441714,TCP
10.1.1.3,10.1.1.2,144,145,329,18.444917,TCP
10.1.1.3,10.1.1.2,144,145,329,18.650787,TCP
10.1.1.2,10.1.1.3,329,330,145,18.651550,TCP
10.1.1.3,10.1.1.2,145,145,330,18.651579,TCP
10.1.1.3,10.1.1.2,0,1,0,19.451929,TCP
10.1.1.2,10.1.1.3,0,1,1,19.452599,TCP
10.1.1.3,10.1.1.2,1,1,1,19.452636,TCP
10.1.1.3,10.1.1.2,1,144,1,19.452702,HTTP
10.1.1.2,10.1.1.3,1,1,144,19.453359,TCP
10.1.1.2,10.1.1.3,1,329,144,19.453806,HTTP
10.1.1.3,10.1.1.2,144,144,329,19.453825,TCP
10.1.1.3,10.1.1.2,144,145,329,19.457385,TCP
10.1.1.2,10.1.1.3,329,330,145,19.458128,TCP
10.1.1.3,10.1.1.2,145,145,330,19.458156,TCP
10.1.1.3,10.1.1.2,0,1,0,20.464654,TCP
10.1.1.2,10.1.1.3,0,1,1,20.465346,TCP
10.1.1.3,10.1.1.2,1,1,1,20.465384,TCP
10.1.1.3,10.1.1.2,1,144,1,20.465450,HTTP
10.1.1.2,10.1.1.3,1,1,144,20.466095,TCP
10.1.1.2,10.1.1.3,1,329,144,20.466525,HTTP
10.1.1.3,10.1.1.2,144,144,329,20.466544,TCP
10.1.1.3,10.1.1.2,144,145,329,20.470117,TCP
10.1.1.2,10.1.1.3,329,330,145,20.470833,TCP
10.1.1.3,10.1.1.2,145,145,330,20.470861,TCP
